Date,Nifty,NiftyLag1,NiftyLag2,NiftyLag3
2008-09-01,3921.2,4360.0,4332.95,4040.55
2008-10-01,2885.6,3921.2,4360.0,4332.95
2008-11-01,2755.1,2885.6,3921.2,4360.0
2008-12-01,2959.15,2755.1,2885.6,3921.2
2009-01-01,2874.8,2959.15,2755.1,2885.6
2009-02-01,2763.65,2874.8,2959.15,2755.1
2009-03-01,3020.95,2763.65,2874.8,2959.15
2009-04-01,3473.95,3020.95,2763.65,2874.8
2009-05-01,4448.95,3473.95,3020.95,2763.65
2009-06-01,4291.1,4448.95,3473.95,3020.95
2009-07-01,4636.45,4291.1,4448.95,3473.95
2009-08-01,4662.1,4636.45,4291.1,4448.95
2009-09-01,5083.95,4662.1,4636.45,4291.1
2009-10-01,4711.7,5083.95,4662.1,4636.45
2009-11-01,5032.7,4711.7,5083.95,4662.1
2009-12-01,5201.05,5032.7,4711.7,5083.95
2010-01-01,4882.05,5201.05,5032.7,4711.7
2010-02-01,4922.3,4882.05,5201.05,5032.7
2010-03-01,5249.1,4922.3,4882.05,5201.05
2010-04-01,5278.0,5249.1,4922.3,4882.05
2010-05-01,5086.3,5278.0,5249.1,4922.3
2010-06-01,5312.5,5086.3,5278.0,5249.1
2010-07-01,5367.6,5312.5,5086.3,5278.0
2010-08-01,5402.4,5367.6,5312.5,5086.3
2010-09-01,6029.95,5402.4,5367.6,5312.5
2010-10-01,6017.7,6029.95,5402.4,5367.6
2010-11-01,5862.7,6017.7,6029.95,5402.4
2010-12-01,6134.5,5862.7,6017.7,6029.95
2011-01-01,5505.9,6134.5,5862.7,6017.7
2011-02-01,5333.25,5505.9,6134.5,5862.7
2011-03-01,5833.75,5333.25,5505.9,6134.5
2011-04-01,5749.5,5833.75,5333.25,5505.9
2011-05-01,5560.15,5749.5,5833.75,5333.25
2011-06-01,5647.4,5560.15,5749.5,5833.75
2011-07-01,5482.0,5647.4,5560.15,5749.5
2011-08-01,5001.0,5482.0,5647.4,5560.15
2011-09-01,4943.25,5001.0,5482.0,5647.4
2011-10-01,5326.6,4943.25,5001.0,5482.0
2011-11-01,4832.05,5326.6,4943.25,5001.0
2011-12-01,4624.3,4832.05,5326.6,4943.25
2012-01-01,5199.25,4624.3,4832.05,5326.6
2012-02-01,5385.2,5199.25,4624.3,4832.05
2012-03-01,5295.55,5385.2,5199.25,4624.3
2012-04-01,5248.15,5295.55,5385.2,5199.25
2012-05-01,4924.25,5248.15,5295.55,5385.2
2012-06-01,5278.9,4924.25,5248.15,5295.55
2012-07-01,5229.0,5278.9,4924.25,5248.15
2012-08-01,5258.5,5229.0,5278.9,4924.25
2012-09-01,5703.3,5258.5,5229.0,5278.9
2012-10-01,5619.7,5703.3,5258.5,5229.0
2012-11-01,5879.85,5619.7,5703.3,5258.5
2012-12-01,5905.1,5879.85,5619.7,5703.3
2013-01-01,6034.75,5905.1,5879.85,5619.7
2013-02-01,5693.05,6034.75,5905.1,5879.85
2013-03-01,5682.55,5693.05,6034.75,5905.1
2013-04-01,5930.2,5682.55,5693.05,6034.75
2013-05-01,5985.95,5930.2,5682.55,5693.05
2013-06-01,5842.2,5985.95,5930.2,5682.55
2013-07-01,5742.0,5842.2,5985.95,5930.2
2013-08-01,5471.8,5742.0,5842.2,5985.95
2013-09-01,5735.3,5471.8,5742.0,5842.2
2013-10-01,6299.15,5735.3,5471.8,5742.0
2013-11-01,6176.1,6299.15,5735.3,5471.8
2013-12-01,6304.0,6176.1,6299.15,5735.3
2014-01-01,6089.5,6304.0,6176.1,6299.15
2014-02-01,6276.95,6089.5,6304.0,6176.1
2014-03-01,6704.2,6276.95,6089.5,6304.0
2014-04-01,6696.4,6704.2,6276.95,6089.5
2014-05-01,7229.95,6696.4,6704.2,6276.95
2014-06-01,7611.35,7229.95,6696.4,6704.2
2014-07-01,7721.3,7611.35,7229.95,6696.4
2014-08-01,7954.35,7721.3,7611.35,7229.95
2014-09-01,7964.8,7954.35,7721.3,7611.35
2014-10-01,8322.2,7964.8,7954.35,7721.3
2014-11-01,8588.25,8322.2,7964.8,7954.35
2014-12-01,8282.7,8588.25,8322.2,7964.8
2015-01-01,8808.9,8282.7,8588.25,8322.2
2015-02-01,8901.85,8808.9,8282.7,8588.25
2015-03-01,8491.0,8901.85,8808.9,8282.7
2015-04-01,8181.5,8491.0,8901.85,8808.9
2015-05-01,8433.65,8181.5,8491.0,8901.85
2015-06-01,8368.5,8433.65,8181.5,8491.0
2015-07-01,8532.85,8368.5,8433.65,8181.5
2015-08-01,7971.3,8532.85,8368.5,8433.65
2015-09-01,7948.9,7971.3,8532.85,8368.5
2015-10-01,8065.8,7948.9,7971.3,8532.85
2015-11-01,7935.25,8065.8,7948.9,7971.3
2015-12-01,7946.35,7935.25,8065.8,7948.9
2016-01-01,7563.55,7946.35,7935.25,8065.8
2016-02-01,6987.05,7563.55,7946.35,7935.25
2016-03-01,7738.4,6987.05,7563.55,7946.35
2016-04-01,7849.8,7738.4,6987.05,7563.55
2016-05-01,8160.1,7849.8,7738.4,6987.05
2016-06-01,8287.75,8160.1,7849.8,7738.4
2016-07-01,8638.5,8287.75,8160.1,7849.8
2016-08-01,8786.2,8638.5,8287.75,8160.1
2016-09-01,8611.15,8786.2,8638.5,8287.75
2016-10-01,8625.7,8611.15,8786.2,8638.5
2016-11-01,8224.5,8625.7,8611.15,8786.2
2016-12-01,8185.8,8224.5,8625.7,8611.15
2017-01-01,8561.3,8185.8,8224.5,8625.7
2017-02-01,8879.6,8561.3,8185.8,8224.5
2017-03-01,9173.75,8879.6,8561.3,8185.8
2017-04-01,9304.05,9173.75,8879.6,8561.3
2017-05-01,9621.25,9304.05,9173.75,8879.6
2017-06-01,9520.9,9621.25,9304.05,9173.75
2017-07-01,10077.1,9520.9,9621.25,9304.05
2017-08-01,9917.9,10077.1,9520.9,9621.25
2017-09-01,9788.6,9917.9,10077.1,9520.9
2017-10-01,10335.3,9788.6,9917.9,10077.1
2017-11-01,10226.55,10335.3,9788.6,9917.9
2017-12-01,10530.7,10226.55,10335.3,9788.6
2018-01-01,11027.7,10530.7,10226.55,10335.3
2018-02-01,10492.85,11027.7,10530.7,10226.55
2018-03-01,10113.7,10492.85,11027.7,10530.7
2018-04-01,10739.35,10113.7,10492.85,11027.7
2018-05-01,10736.15,10739.35,10113.7,10492.85
2018-06-01,10714.3,10736.15,10739.35,10113.7
2018-07-01,11356.5,10714.3,10736.15,10739.35
2018-08-01,11680.5,11356.5,10714.3,10736.15
2018-09-01,10930.45,11680.5,11356.5,10714.3
2018-10-01,10386.6,10930.45,11680.5,11356.5
2018-11-01,10876.75,10386.6,10930.45,11680.5
2018-12-01,10862.55,10876.75,10386.6,10930.45
2019-01-01,10830.95,10862.55,10876.75,10386.6
2019-02-01,10792.5,10830.95,10862.55,10876.75
2019-03-01,11623.9,10792.5,10830.95,10862.55
2019-04-01,11748.15,11623.9,10792.5,10830.95
2019-05-01,11922.8,11748.15,11623.9,10792.5
2019-06-01,11788.85,11922.8,11748.15,11623.9
2019-07-01,11118.0,11788.85,11922.8,11748.15
2019-08-01,11023.25,11118.0,11788.85,11922.8
2019-09-01,11474.45,11023.25,11118.0,11788.85
2019-10-01,11877.45,11474.45,11023.25,11118.0
2019-11-01,12056.05,11877.45,11474.45,11023.25
2019-12-01,12168.45,12056.05,11877.45,11474.45
2020-01-01,11962.1,12168.45,12056.05,11877.45
2020-02-01,11201.75,11962.1,12168.45,12056.05
2020-03-01,8597.75,11201.75,11962.1,12168.45
2020-04-01,9859.9,8597.75,11201.75,11962.1
